raw_branch,alias
Ahoghill,Ahoghill
Ardmore,Ardmore
Ballyclare Rd,Ballyclare Rd
Ballycolman,Ballycolman
Belfast High St,Racecourse NHD
Beverley,Beverley
Beverly,Beverley
Broughshane,Broughshane
Carnmoney,Carnmoney
Carrick Hill,Carrickhill
Carrickfergus High St,Carrickfergus High St
Carrickhill,Carrickhill
Central,Central
Comber Rd,Comber Rd
Comber Road,Comber Rd
Crumlin,Crumlin
Cullingtree,Cullingtree
Deeny,Deenys
Deenys,Deenys
Dolans,Dolans
Dolan's,Dolans
Donaghys,Newell Rd
Drumahoe,Drumahoe
Dundonald,Dundonald
Dungannon,Newell Rd NHD
Dunville,Dunville
Falls,Falls
Fitzroy,Fitzroy
Forestside,Forestside
Galliagh,Galliagh
Gilnahirk,Gilnahirk
Gilnahirk Road,Gilnahirk
Glengormley,Ballyclare Rd NHD
Greenisland,Greenisland
Grove,Grove
Grove Centre,Grove
Hannons,Mayfield
Hatmore,Hatmore
High St Carrickfergus,Carrickfergus High St
Hightown,Tramways
House Of Fragrance,House Of Fragrance
Jordanstown,Monkstown
Kings Square,Kings Square
King's Square,Kings Square
Limavady,Limavady
Malone,Malone
Maureen Sheehan,Maureen Sheenan Centre
Maureen Sheenan Centre,Maureen Sheenan Centre
Mayfield,Mayfield
McGread,McGread
Medichem,Medichem
Medi-Chem,Medichem
Monkstown,Monkstown
Mourne,Mourne
Newell Rd,Newell Rd
Northcott,Northcott
O'Hares,O'Hares
Osbornes,Osbourne
Osbourne,Osbourne
Racecourse,Racecourse
Rathmore,Rathmore
Richmond,Richmond
Springfield Rd,Springfield Rd
Strabane H/C,Strabane HC
Strabane HC,Strabane HC
Strabane Health & Beauty,Strabane H & B
Sunnylands,Sunnylands
Thorntons,Thorntons
Tramways,Tramways
Victoria,Victoria
Village,Village
Warnocks,Warnocks
Whiterock,Whiterock
Woodford,Woodford
